date,placeId,view
2023-06-22,4612577671677689572,117
2023-06-21,4612577671677689572,153
2023-06-20,4612577671677689572,103
2023-06-19,4612577671677689572,119
2023-06-18,4612577671677689572,114
2023-06-17,4612577671677689572,144
2023-06-16,4612577671677689572,121
2023-06-15,4612577671677689572,160
2023-06-14,4612577671677689572,125
2023-06-13,4612577671677689572,131
2023-06-12,4612577671677689572,114
2023-06-11,4612577671677689572,181
2023-06-10,4612577671677689572,178
2023-06-09,4612577671677689572,152
2023-06-08,4612577671677689572,126
2023-06-07,4612577671677689572,181
2023-06-06,4612577671677689572,87
2023-06-05,4612577671677689572,194
2023-06-04,4612577671677689572,182
2023-06-03,4612577671677689572,173
2023-06-02,4612577671677689572,165
2023-06-01,4612577671677689572,163
2023-05-31,4612577671677689572,138
2023-05-30,4612577671677689572,131
2023-05-29,4612577671677689572,120
2023-05-28,4612577671677689572,120
2023-05-27,4612577671677689572,145
2023-05-26,4612577671677689572,148
2023-05-25,4612577671677689572,111
2023-05-24,4612577671677689572,86
2023-05-23,4612577671677689572,110
2023-05-22,4612577671677689572,116
2023-05-21,4612577671677689572,173
2023-05-20,4612577671677689572,175
2023-05-19,4612577671677689572,162
2023-05-18,4612577671677689572,129
2023-05-17,4612577671677689572,164
2023-05-16,4612577671677689572,126
2023-05-15,4612577671677689572,135
2023-05-14,4612577671677689572,132
2023-05-13,4612577671677689572,129
2023-05-12,4612577671677689572,173
2023-05-11,4612577671677689572,89
2023-05-10,4612577671677689572,100
2023-05-09,4612577671677689572,129
2023-05-08,4612577671677689572,126
2023-05-07,4612577671677689572,108
2023-05-06,4612577671677689572,129
2023-05-05,4612577671677689572,141
2023-05-04,4612577671677689572,110
2023-05-03,4612577671677689572,106
2023-05-02,4612577671677689572,85
2023-05-01,4612577671677689572,96
2023-04-30,4612577671677689572,89
2023-04-29,4612577671677689572,85
2023-04-28,4612577671677689572,79
2023-04-27,4612577671677689572,116
2023-04-26,4612577671677689572,125
2023-04-25,4612577671677689572,122
2023-04-24,4612577671677689572,92
2023-04-23,4612577671677689572,108
2023-04-22,4612577671677689572,135
2023-04-21,4612577671677689572,169
2023-04-20,4612577671677689572,114
2023-04-19,4612577671677689572,119
2023-04-18,4612577671677689572,134
2023-04-17,4612577671677689572,161
2023-04-16,4612577671677689572,104
2023-04-15,4612577671677689572,155
2023-04-14,4612577671677689572,141
2023-04-13,4612577671677689572,117
2023-04-12,4612577671677689572,96
2023-04-11,4612577671677689572,105
2023-04-10,4612577671677689572,104
2023-04-09,4612577671677689572,85
2023-04-08,4612577671677689572,129
2023-04-07,4612577671677689572,149
2023-04-06,4612577671677689572,107
2023-04-05,4612577671677689572,119
2023-04-04,4612577671677689572,103
2023-04-03,4612577671677689572,120
2023-04-02,4612577671677689572,102
2023-04-01,4612577671677689572,139
2023-03-31,4612577671677689572,101
2023-03-30,4612577671677689572,155
2023-03-29,4612577671677689572,155
2023-03-28,4612577671677689572,118
2023-03-27,4612577671677689572,137
2023-03-26,4612577671677689572,119
2023-03-25,4612577671677689572,190
2023-03-24,4612577671677689572,160
2023-03-23,4612577671677689572,134
2023-03-22,4612577671677689572,135
2023-03-21,4612577671677689572,126
2023-03-20,4612577671677689572,129
2023-03-19,4612577671677689572,130
2023-03-18,4612577671677689572,172
2023-03-17,4612577671677689572,151
2023-03-16,4612577671677689572,90
2023-03-15,4612577671677689572,160
2023-03-14,4612577671677689572,107
2023-03-13,4612577671677689572,183
2023-03-12,4612577671677689572,131
2023-03-11,4612577671677689572,183
2023-03-10,4612577671677689572,118
2023-03-09,4612577671677689572,146
2023-03-08,4612577671677689572,135
2023-03-07,4612577671677689572,157
2023-03-06,4612577671677689572,157
2023-03-05,4612577671677689572,134
2023-03-04,4612577671677689572,152
2023-03-03,4612577671677689572,159
2023-03-02,4612577671677689572,109
2023-03-01,4612577671677689572,132
2023-02-28,4612577671677689572,200
2023-02-27,4612577671677689572,134
2023-02-26,4612577671677689572,145
2023-02-25,4612577671677689572,178
2023-02-24,4612577671677689572,186
2023-02-23,4612577671677689572,156
2023-02-22,4612577671677689572,112
2023-02-21,4612577671677689572,87
2023-02-20,4612577671677689572,131
2023-02-19,4612577671677689572,111
2023-02-18,4612577671677689572,151
2023-02-17,4612577671677689572,148
2023-02-16,4612577671677689572,116
2023-02-15,4612577671677689572,98
2023-02-14,4612577671677689572,112
2023-02-13,4612577671677689572,138
2023-02-12,4612577671677689572,152
2023-02-11,4612577671677689572,181
2023-02-10,4612577671677689572,158
2023-02-09,4612577671677689572,128
2023-02-08,4612577671677689572,121
2023-02-07,4612577671677689572,91
2023-02-06,4612577671677689572,98
2023-02-05,4612577671677689572,97
2023-02-04,4612577671677689572,126
2023-02-03,4612577671677689572,167
2023-02-02,4612577671677689572,110
2023-02-01,4612577671677689572,123
2023-01-31,4612577671677689572,92
2023-01-30,4612577671677689572,97
2023-01-29,4612577671677689572,110
2023-01-28,4612577671677689572,132
2023-01-27,4612577671677689572,133
2023-01-26,4612577671677689572,101
2023-01-25,4612577671677689572,158
2023-01-24,4612577671677689572,109
2023-01-23,4612577671677689572,139
2023-01-22,4612577671677689572,126
2023-01-21,4612577671677689572,102
2023-01-20,4612577671677689572,96
2023-01-19,4612577671677689572,91
2023-01-18,4612577671677689572,84
2023-01-17,4612577671677689572,96
2023-01-16,4612577671677689572,78
2023-01-15,4612577671677689572,64
2023-01-14,4612577671677689572,129
2023-01-13,4612577671677689572,106
2023-01-12,4612577671677689572,117
2023-01-11,4612577671677689572,141
2023-01-10,4612577671677689572,103
2023-01-09,4612577671677689572,89
2023-01-08,4612577671677689572,130
2023-01-07,4612577671677689572,117
2023-01-06,4612577671677689572,110
2023-01-05,4612577671677689572,123
2023-01-04,4612577671677689572,101
2023-01-03,4612577671677689572,112
2023-01-02,4612577671677689572,86
2023-01-01,4612577671677689572,108
2022-12-31,4612577671677689572,113
2022-12-30,4612577671677689572,129
2022-12-29,4612577671677689572,154
2022-12-28,4612577671677689572,113
2022-12-27,4612577671677689572,55
2022-12-26,4612577671677689572,131
2022-12-25,4612577671677689572,105
2022-12-24,4612577671677689572,123
2022-12-23,4612577671677689572,130
2022-12-22,4612577671677689572,102
2022-12-21,4612577671677689572,119
2022-12-20,4612577671677689572,116
2022-12-19,4612577671677689572,125
2022-12-18,4612577671677689572,92
2022-12-17,4612577671677689572,150
2022-12-16,4612577671677689572,161
2022-12-15,4612577671677689572,130
2022-12-14,4612577671677689572,122
2022-12-13,4612577671677689572,163
2022-12-12,4612577671677689572,149
2022-12-11,4612577671677689572,128
2022-12-10,4612577671677689572,130
2022-12-09,4612577671677689572,132
2022-12-08,4612577671677689572,134
2022-12-07,4612577671677689572,94
2022-12-06,4612577671677689572,131
2022-12-05,4612577671677689572,140
2022-12-04,4612577671677689572,79
2022-12-03,4612577671677689572,145
2022-12-02,4612577671677689572,137
2022-12-01,4612577671677689572,113
2022-11-30,4612577671677689572,100
2022-11-29,4612577671677689572,135
2022-11-28,4612577671677689572,109
2022-11-27,4612577671677689572,129
2022-11-26,4612577671677689572,175
2022-11-25,4612577671677689572,181
2022-11-24,4612577671677689572,123
2022-11-23,4612577671677689572,149
2022-11-22,4612577671677689572,117
2022-11-21,4612577671677689572,154
2022-11-20,4612577671677689572,104
2022-11-19,4612577671677689572,175
2022-11-18,4612577671677689572,183
2022-11-17,4612577671677689572,169
2022-11-16,4612577671677689572,124
2022-11-15,4612577671677689572,119
2022-11-14,4612577671677689572,105
2022-11-13,4612577671677689572,99
2022-11-12,4612577671677689572,150
2022-11-11,4612577671677689572,152
2022-11-10,4612577671677689572,92
2022-11-09,4612577671677689572,143
2022-11-08,4612577671677689572,153
2022-11-07,4612577671677689572,123
2022-11-06,4612577671677689572,110
2022-11-05,4612577671677689572,138
2022-11-04,4612577671677689572,125
2022-11-03,4612577671677689572,140
2022-11-02,4612577671677689572,96
2022-11-01,4612577671677689572,88
2022-10-31,4612577671677689572,97
2022-10-30,4612577671677689572,105
2022-10-29,4612577671677689572,146
2022-10-28,4612577671677689572,133
2022-10-27,4612577671677689572,101
2022-10-26,4612577671677689572,91
2022-10-25,4612577671677689572,84
2022-10-24,4612577671677689572,89
2022-10-23,4612577671677689572,104
2022-10-22,4612577671677689572,152
2022-10-21,4612577671677689572,127
2022-10-20,4612577671677689572,98
2022-10-19,4612577671677689572,113
2022-10-18,4612577671677689572,108
2022-10-17,4612577671677689572,103
2022-10-16,4612577671677689572,93
2022-10-15,4612577671677689572,145
2022-10-14,4612577671677689572,206
2022-10-13,4612577671677689572,142
2022-10-12,4612577671677689572,109
2022-10-11,4612577671677689572,99
2022-10-10,4612577671677689572,94
2022-10-09,4612577671677689572,96
2022-10-08,4612577671677689572,133
2022-10-07,4612577671677689572,122
2022-10-06,4612577671677689572,112
2022-10-05,4612577671677689572,111
2022-10-04,4612577671677689572,131
2022-10-03,4612577671677689572,133
2022-10-02,4612577671677689572,101
2022-10-01,4612577671677689572,133
2022-09-30,4612577671677689572,141
2022-09-29,4612577671677689572,150
2022-09-28,4612577671677689572,99
2022-09-27,4612577671677689572,178
2022-09-26,4612577671677689572,103
2022-09-25,4612577671677689572,103
2022-09-24,4612577671677689572,179
2022-09-23,4612577671677689572,168
2022-09-22,4612577671677689572,124
2022-09-21,4612577671677689572,132
2022-09-20,4612577671677689572,126
2022-09-19,4612577671677689572,121
2022-09-18,4612577671677689572,106
2022-09-17,4612577671677689572,155
2022-09-16,4612577671677689572,228
2022-09-15,4612577671677689572,147
2022-09-14,4612577671677689572,159
2022-09-13,4612577671677689572,164
2022-09-12,4612577671677689572,138
2022-09-11,4612577671677689572,129
2022-09-10,4612577671677689572,176
2022-09-09,4612577671677689572,203
2022-09-08,4612577671677689572,183
2022-09-07,4612577671677689572,85
2022-09-06,4612577671677689572,118
2022-09-05,4612577671677689572,150
2022-09-04,4612577671677689572,122
2022-09-03,4612577671677689572,139
2022-09-02,4612577671677689572,141
2022-09-01,4612577671677689572,123
2022-08-31,4612577671677689572,103
2022-08-30,4612577671677689572,159
2022-08-29,4612577671677689572,116
2022-08-28,4612577671677689572,113
2022-08-27,4612577671677689572,159
2022-08-26,4612577671677689572,185
2022-08-25,4612577671677689572,179
2022-08-24,4612577671677689572,99
2022-08-23,4612577671677689572,140
2022-08-22,4612577671677689572,127
2022-08-21,4612577671677689572,116
2022-08-20,4612577671677689572,132
2022-08-19,4612577671677689572,131
2022-08-18,4612577671677689572,133
2022-08-17,4612577671677689572,154
2022-08-16,4612577671677689572,130
2022-08-15,4612577671677689572,117
2022-08-14,4612577671677689572,131
2022-08-13,4612577671677689572,200
2022-08-12,4612577671677689572,157
2022-08-11,4612577671677689572,109
2022-08-10,4612577671677689572,77
2022-08-09,4612577671677689572,79
2022-08-08,4612577671677689572,106
2022-08-07,4612577671677689572,129
2022-08-06,4612577671677689572,169
2022-08-05,4612577671677689572,113
2022-08-04,4612577671677689572,130
2022-08-03,4612577671677689572,131
2022-08-02,4612577671677689572,131
2022-08-01,4612577671677689572,114
2022-07-31,4612577671677689572,92
2022-07-30,4612577671677689572,170
2022-07-29,4612577671677689572,170
2022-07-28,4612577671677689572,117
2022-07-27,4612577671677689572,115
2022-07-26,4612577671677689572,130
2022-07-25,4612577671677689572,96
2022-07-24,4612577671677689572,89
2022-07-23,4612577671677689572,127
2022-07-22,4612577671677689572,168
2022-07-21,4612577671677689572,106
2022-07-20,4612577671677689572,135
2022-07-19,4612577671677689572,91
2022-07-18,4612577671677689572,110
2022-07-17,4612577671677689572,120
2022-07-16,4612577671677689572,176
2022-07-15,4612577671677689572,142
2022-07-14,4612577671677689572,104
2022-07-13,4612577671677689572,98
2022-07-12,4612577671677689572,103
2022-07-11,4612577671677689572,109
2022-07-10,4612577671677689572,127
2022-07-09,4612577671677689572,145
2022-07-08,4612577671677689572,119
2022-07-07,4612577671677689572,131
2022-07-06,4612577671677689572,106
2022-07-05,4612577671677689572,146
2022-07-04,4612577671677689572,79
2022-07-03,4612577671677689572,135
2022-07-02,4612577671677689572,122
2022-07-01,4612577671677689572,107
2022-06-30,4612577671677689572,107
2022-06-29,4612577671677689572,140
2022-06-28,4612577671677689572,133
2022-06-27,4612577671677689572,120
2022-06-26,4612577671677689572,150
2022-06-25,4612577671677689572,202
2022-06-24,4612577671677689572,187
2022-06-23,4612577671677689572,185
2022-06-22,4612577671677689572,141
