date,placeId,view
2023-10-06,4618450758643546965,203
2023-10-05,4618450758643546965,164
2023-10-04,4618450758643546965,171
2023-10-03,4618450758643546965,167
2023-10-02,4618450758643546965,185
2023-10-01,4618450758643546965,143
2023-09-30,4618450758643546965,175
2023-09-29,4618450758643546965,205
2023-09-28,4618450758643546965,229
2023-09-27,4618450758643546965,143
2023-09-26,4618450758643546965,108
2023-09-25,4618450758643546965,145
2023-09-24,4618450758643546965,126
2023-09-23,4618450758643546965,191
2023-09-22,4618450758643546965,206
2023-09-21,4618450758643546965,173
2023-09-20,4618450758643546965,148
2023-09-19,4618450758643546965,115
2023-09-18,4618450758643546965,113
2023-09-17,4618450758643546965,126
2023-09-16,4618450758643546965,210
2023-09-15,4618450758643546965,160
2023-09-14,4618450758643546965,150
2023-09-13,4618450758643546965,115
2023-09-12,4618450758643546965,91
2023-09-11,4618450758643546965,148
2023-09-10,4618450758643546965,116
2023-09-09,4618450758643546965,163
2023-09-08,4618450758643546965,179
2023-09-07,4618450758643546965,141
2023-09-06,4618450758643546965,141
2023-09-05,4618450758643546965,118
2023-09-04,4618450758643546965,172
2023-09-03,4618450758643546965,170
2023-09-02,4618450758643546965,274
2023-09-01,4618450758643546965,294
2023-08-31,4618450758643546965,264
2023-08-30,4618450758643546965,168
2023-08-29,4618450758643546965,181
2023-08-28,4618450758643546965,143
2023-08-27,4618450758643546965,156
2023-08-26,4618450758643546965,199
2023-08-25,4618450758643546965,172
2023-08-24,4618450758643546965,161
2023-08-23,4618450758643546965,153
2023-08-22,4618450758643546965,148
2023-08-21,4618450758643546965,193
2023-08-20,4618450758643546965,210
2023-08-19,4618450758643546965,188
2023-08-18,4618450758643546965,218
2023-08-17,4618450758643546965,180
2023-08-16,4618450758643546965,140
2023-08-15,4618450758643546965,203
2023-08-14,4618450758643546965,197
2023-08-13,4618450758643546965,166
2023-08-12,4618450758643546965,244
2023-08-11,4618450758643546965,244
2023-08-10,4618450758643546965,180
2023-08-09,4618450758643546965,153
2023-08-08,4618450758643546965,184
2023-08-07,4618450758643546965,179
2023-08-06,4618450758643546965,158
2023-08-05,4618450758643546965,201
2023-08-04,4618450758643546965,116
2023-08-03,4618450758643546965,107
2023-08-02,4618450758643546965,154
2023-08-01,4618450758643546965,123
2023-07-31,4618450758643546965,135
2023-07-30,4618450758643546965,158
2023-07-29,4618450758643546965,199
2023-07-28,4618450758643546965,188
2023-07-27,4618450758643546965,146
2023-07-26,4618450758643546965,160
2023-07-25,4618450758643546965,217
2023-07-24,4618450758643546965,157
2023-07-23,4618450758643546965,196
2023-07-22,4618450758643546965,153
2023-07-21,4618450758643546965,189
2023-07-20,4618450758643546965,153
2023-07-19,4618450758643546965,173
2023-07-18,4618450758643546965,142
2023-07-17,4618450758643546965,116
2023-07-16,4618450758643546965,209
2023-07-15,4618450758643546965,257
2023-07-14,4618450758643546965,208
2023-07-13,4618450758643546965,121
2023-07-12,4618450758643546965,159
2023-07-11,4618450758643546965,185
